"","id","name","accredited","peopleAtRisk","counties","areaSquareMiles","leveeLengthInMiles","MedianIncome_weighted_value","MedianIncome_weighted_moe","MedianIncome_n_tracts_with_data","MedianIncome_total_weight","TotalPopulation_weighted_value","TotalPopulation_weighted_moe","TotalPopulation_n_tracts_with_data","TotalPopulation_total_weight","TotalHouses_weighted_value","TotalHouses_weighted_moe","TotalHouses_n_tracts_with_data","TotalHouses_total_weight","MedianIncome_CV","TotalPopulation_CV","TotalHouses_CV"
"1","150005000001","Sonoma County Levee 111","Non-Accredited Levee System",NA,"Sonoma County, CA",0.00881519075092957,0.0917413848268554,126563,31149,1,1,0.278754305290454,0.0563988478202813,1,0.00011999754855379,0.138957161225289,0.0172796469917458,1,0.00011999754855379,0.149613728420079,0.12299366582621,0.0755941225569712
"2","150005000002","Sonoma County Levee 36","Non-Accredited Levee System","0","Sonoma County, CA",0.127646713879749,0.532582994556591,127599,20928,1,1,2.14918734927151,0.250767020333987,1,0.000569925046213607,1.01275680712158,0.0763699561926233,1,0.000569925046213607,0.099704452619911,0.0709300460481083,0.0458407240097634
"3","150005000003","Sonoma County Levee 37","Non-Accredited Levee System",NA,"Sonoma County, CA",0.101103311955721,0.206466064125846,127599,20928,1,1,1.70225795743366,0.198619332079239,1,0.000451407572907362,0.802151257056382,0.0604886147695865,1,0.000451407572907362,0.099704452619911,0.0709300460481083,0.0458407240097634
"4","150005000004","Sonoma County Levee 38","Non-Accredited Levee System","157","Sonoma County, CA",0.413624504418771,1.47167706606674,127599,20928,1,1,6.96414455010243,0.812575869012217,1,0.00184676333866413,3.28169845280616,0.247466287380993,1,0.00184676333866413,0.099704452619911,0.0709300460481083,0.0458407240097634
"5","150005000005","Sonoma County Levee 39","Non-Accredited Levee System",NA,"Sonoma County, CA",0.0845797720133202,0.454221143323097,127599,20928,1,1,1.42407320635729,0.166160755979106,1,0.000377638081770695,0.671062871306525,0.0506035029572731,1,0.000377638081770695,0.099704452619911,0.0709300460481083,0.0458407240097634
"6","150005000006","Sonoma County Levee 40","Non-Accredited Levee System","0","Sonoma County, CA",1.75106006075212,6.92551249976712,126563,31149,1,1,55.3704818823496,11.2028095069756,1,0.0238357649084587,27.6018157639952,3.43235014681805,1,0.0238357649084587,0.149613728420079,0.12299366582621,0.0755941225569712
"7","150005000010","Sonoma County Levee 105","Non-Accredited Levee System","0","Sonoma County, CA",0.733412386958553,3.41661655876039,126563,31149,1,1,23.191334997128,4.69217711952225,1,0.00998335557345159,11.5607257540569,1.43760320257703,1,0.00998335557345159,0.149613728420079,0.12299366582621,0.0755941225569712
"8","150005000014","Sonoma County Levee 46","Non-Accredited Levee System","8","Sonoma County, CA",0.0964318096003877,1.76130300123148,126563,31149,1,1,3.04926844067936,0.616941957434051,1,0.00131264246262564,1.52003997172049,0.189020514618092,1,0.00131264246262564,0.149613728420079,0.12299366582621,0.0755941225569712
"9","150005000015","Napa County Levee 8","Non-Accredited Levee System","30","Napa County, CA",0.696962105657716,2.08650878972784,78839,15577,1,1,146.533449284539,17.377654269692,1,0.0301695386626598,66.1617982872129,5.91322957788132,1,0.0301695386626598,0.120109348315607,0.0720922330005951,0.0543314802417751
"10","150005000016","Napa County Levee 9","Non-Accredited Levee System","0","Napa County, CA",0.17317788738107,1.1964085267517,111500,20088,1,1,5.93196167228875,1.13612147282818,1,0.00335139077530438,3.79712574841986,0.556330868700527,1,0.00335139077530438,0.109520629165701,0.116428829014476,0.0890660671697647
"11","150005000018","Napa County Levee 10","Non-Accredited Levee System","7","Napa County, CA",0.0471117300426402,0.46947827172574,121071,29228,1,1,1.53476710034147,0.274742258703103,1,0.000789489249146849,0.768173039419884,0.105791559385678,1,0.000789489249146849,0.146755054100612,0.108822094637697,0.0837193900979954
"12","150005000019","Sonoma County Levee 48","Non-Accredited Levee System",NA,"Sonoma County, CA",0.207905445393268,0.622177602114525,127599,20928,1,1,3.5004957976238,0.408437589751916,1,0.000928267249436172,1.64953090224808,0.124387811424447,1,0.000928267249436172,0.099704452619911,0.0709300460481083,0.0458407240097634
"13","150005000020","Sonoma County Levee 49","Non-Accredited Levee System","0","Sonoma County, CA",0.243666481390766,1.34981168469651,126563,31149,1,1,7.7049187391942,1.55889445003068,1,0.00331679670219294,3.84085058113942,0.477618725115783,1,0.00331679670219294,0.149613728420079,0.12299366582621,0.0755941225569712
"14","150005000021","Sonoma County Levee 50","Non-Accredited Levee System","10","Sonoma County, CA",0.921342943709035,4.8164444726602,126563,31149,1,1,29.1339187741757,5.89450788801661,1,0.0125415061447162,14.5230641155814,1.80597688483913,1,0.0125415061447162,0.149613728420079,0.12299366582621,0.0755941225569712
"15","150005000022","Sonoma County Levee 112","Non-Accredited Levee System","0","Sonoma County, CA",0.0319616918132404,0.428500253932168,118333,28800,1,1,2.23327256326887,0.294321430248387,1,0.000457731617804646,0.838564323818111,0.107109198566287,1,0.000457731617804646,0.147951955787435,0.0801150766481995,0.0776469651318671
"16","150005000023","Sonoma County Levee 52","Non-Accredited Levee System","0","Sonoma County, CA",1.2043078690463,6.31419512700958,126563,31149,1,1,38.0815312903039,7.70482983488715,1,0.016393254967845,18.9833892527645,2.36062871536968,1,0.016393254967845,0.149613728420079,0.12299366582621,0.0755941225569712
"17","150005000024","Sonoma County Levee 53","Non-Accredited Levee System","0","Sonoma County, CA",0.154859845910505,0.239141124495138,126563,31149,1,1,4.89687098011381,0.990757365756991,1,0.00210799439522764,2.44105750967361,0.30355119291278,1,0.00210799439522764,0.149613728420079,0.12299366582621,0.0755941225569712
